ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
3171081002	DKI JAKARTA	JAKARTA PUSAT	JOHAR BARU	KAMPUNG RAWA	2039	2	2004	32	1																							
3175041002	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	KAMPUNG TENGAH	4667	2	4567	79	19																							
3173011005	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	KAPUK	9246	0	9036	189	21																							
3172011003	DKI JAKARTA	JAKARTA UTARA	PENJARINGAN	KAPUK MUARA	5156	11	5038	30	77																							
3171021002	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	KARANG ANYAR	2896	0	2846	42	8																							
3174021004	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KARET	1581	2	1561	13	5																							
3174021003	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KARET KUNINGAN	4266	2	4190	47	27																							
3174021002	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KARET SEMANGGI	664	2	646	6	10																							
3171071003	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KARET TENGSIN	2598	1	2549	27	21																							
3171021003	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	KARTINI	2911	1	2857	39	14																							
3175011003	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	KAYU MANIS	3258	0	3204	42	12																							
3175021006	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	KAYU PUTIH	6393	4	6255	73	61																							
3173031006	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	KEAGUNGAN	1770	1	1748	14	7																							
3174041007	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	KEBAGUSAN	5102	4	4990	69	39																							
3174051006	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	KEBAYORAN LAMA SELATAN	5192	2	5079	84	27																							
3174051001	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN LAMA	KEBAYORAN LAMA UTARA	4626	3	4534	58	31																							
3174011004	DKI JAKARTA	JAKARTA SELATAN	TEBET	KEBON BARU	4047	3	3954	61	29																							
3172021005	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	KEBON BAWANG	5322	0	5253	63	6																							
3173051001	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KEBON JERUK	7867	2	7714	92	59																							
3171071006	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KEBON KACANG	2458	0	2401	44	13																							
3171011005	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	KEBON KELAPA	1464	0	1433	15	16																							
3171031002	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	KEBON KOSONG	4345	1	4271	57	16																							
3175011005	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	KEBON MANGGIS	2280	0	2245	33	2																							
3171071005	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	KEBON MELATI	2650	1	2597	43	9																							
3175081003	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	KEBON PALA	5384	6	5284	82	12																							
3171061005	DKI JAKARTA	JAKARTA PUSAT	MENTENG	KEBON SIRIH	1360	0	1337	19	4																							
3173011004	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	KEDAUNG KALI ANGKE	3036	0	2975	39	22																							
3173051007	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KEDOYA SELATAN	4039	1	3947	57	34																							
3173051006	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KEDOYA UTARA	5182	6	5069	61	46																							
3173051004	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	KELAPA DUA	3306	1	3249	43	13																							
3175091003	DKI JAKARTA	JAKARTA TIMUR	CIRACAS	KELAPA DUA WETAN	6189	1	6085	79	24																							
3172061003	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	KELAPA GADING BARAT	7161	6	6989	65	101																							
3172061001	DKI JAKARTA	JAKARTA UTARA	KELAPA GADING	KELAPA GADING TIMUR	7294	7	7104	70	113																							
3173071005	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KEMANGGISAN	4729	2	4620	65	42																							
3171031001	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	KEMAYORAN	3646	1	3587	48	10																							
3173081006	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	KEMBANGAN SELATAN	3958	1	3873	28	56																							
3173081001	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	KEMBANGAN UTARA	5773	4	5633	72	64																							
3171041002	DKI JAKARTA	JAKARTA PUSAT	SENEN	KENARI	1800	3	1763	20	14																							
3173041005	DKI JAKARTA	JAKARTA BARAT	TAMBORA	KERENDANG	1710	0	1685	20	5																							
3175071003	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	KLENDER	6528	2	6362	119	45																							
3172031001	DKI JAKARTA	JAKARTA UTARA	KOJA	KOJA	2626	0	2583	41	2																							
3173071006	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KOTA BAMBU SELATAN	2315	0	2273	40	2																							
3173071003	DKI JAKARTA	JAKARTA BARAT	PALMERAH	KOTA BAMBU UTARA	2191	1	2144	39	7																							
3171041004	DKI JAKARTA	JAKARTA PUSAT	SENEN	KRAMAT	2872	0	2818	46	8																							
3175041001	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	KRAMAT JATI	4499	2	4411	73	13																							
3174071003	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	KRAMAT PELA	1753	3	1714	13	23																							
3173031002	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	KRUKUT	1934	1	1897	21	15																							
