ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan
3172031006	DKI JAKARTA	JAKARTA UTARA	KOJA	RAWA BADAK SELATAN	3262	10	3110	44	98	
3172031004	DKI JAKARTA	JAKARTA UTARA	KOJA	RAWA BADAK UTARA	2912	8	2787	44	73	
3174071005	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	RAWA BARAT	860	4	794	9	53	
3173011003	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	RAWA BUAYA	5048	44	4727	66	211	
3175031004	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	RAWA BUNGA	1878	16	1757	19	86	
3174081003	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	RAWA JATI	3671	19	3380	33	239	
3175061002	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	RAWA TERATE	1372	3	1312	21	36	
3175021005	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	RAWAMANGUN	5167	21	4807	78	261	
3171051003	DKI JAKARTA	JAKARTA PUSAT	CEMPAKA PUTIH	RAWASARI	4483	21	4251	39	172	
3173041010	DKI JAKARTA	JAKARTA BARAT	TAMBORA	ROA MALAKA	439	2	410	8	19	
3172041006	DKI JAKARTA	JAKARTA UTARA	CILINCING	ROROTAN	3076	8	2892	41	135	
3174071004	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	SELONG	591	5	556	6	24	
3173061002	DKI JAKARTA	JAKARTA BARAT	KALI DERES	SEMANAN	3548	10	3359	55	124	
3172041007	DKI JAKARTA	JAKARTA UTARA	CILINCING	SEMPER BARAT	5744	32	5405	83	224	
3172041005	DKI JAKARTA	JAKARTA UTARA	CILINCING	SEMPER TIMUR	3078	11	2886	47	134	
3174071006	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	SENAYAN	1197	2	1155	2	38	
3171041001	DKI JAKARTA	JAKARTA PUSAT	SENEN	SENEN	1387	14	1301	17	55	
3171031004	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	SERDANG	3676	14	3506	60	96	
3174021001	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	SETIA BUDI	1034	6	954	7	67	
3175101005	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	SETU	2630	11	2465	17	137	
3173071002	DKI JAKARTA	JAKARTA BARAT	PALMERAH	SLIPI	2833	8	2731	33	61	
3173081004	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	SRENGSENG	5363	35	5038	72	218	
3174091002	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	SRENGSENG SAWAH	6670	18	6296	87	269	
3173051003	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	SUKABUMI SELATAN	3022	11	2862	36	113	
3173051002	DKI JAKARTA	JAKARTA BARAT	KEBON JERUK	SUKABUMI UTARA	3978	11	3777	49	141	
3172041002	DKI JAKARTA	JAKARTA UTARA	CILINCING	SUKAPURA	3944	24	3723	53	144	
3171031007	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	SUMUR BATU	3338	32	3135	46	125	
3172021004	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	SUNGAI BAMBU	2822	12	2689	29	92	
3172021006	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	SUNTER AGUNG	8892	56	8355	114	367	
3172021002	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	SUNTER JAYA	8504	42	8013	103	346	
3175091004	DKI JAKARTA	JAKARTA TIMUR	CIRACAS	SUSUKAN	4142	11	3919	71	141	
3173031001	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	TAMAN SARI	2031	22	1936	22	51	
3173041001	DKI JAKARTA	JAKARTA BARAT	TAMBORA	TAMBORA	1195	3	1120	25	47	
3173041004	DKI JAKARTA	JAKARTA BARAT	TAMBORA	TANAH SEREAL	2776	9	2684	26	57	
3171081004	DKI JAKARTA	JAKARTA PUSAT	JOHAR BARU	TANAH TINGGI	2900	11	2784	49	56	
3173031004	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	TANGKI	1674	9	1603	22	40	
3174091005	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	TANJUNG BARAT	4616	16	4277	60	263	
3173021005	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	TANJUNG DUREN SELATAN	4174	16	3952	48	158	
3173021002	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	TANJUNG DUREN UTARA	3191	31	2990	35	135	
3172021001	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	TANJUNG PRIOK	3126	6	2983	48	89	
3174011002	DKI JAKARTA	JAKARTA SELATAN	TEBET	TEBET BARAT	4292	17	3983	42	250	
3174011001	DKI JAKARTA	JAKARTA SELATAN	TEBET	TEBET TIMUR	3403	14	3117	38	234	
3173061003	DKI JAKARTA	JAKARTA BARAT	KALI DERES	TEGAL ALUR	6195	52	5796	81	266	
3174031004	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	TEGAL PARANG	3270	7	3115	45	103	
3173021003	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	TOMANG	3674	19	3463	38	154	
3172031005	DKI JAKARTA	JAKARTA UTARA	KOJA	TUGU SELATAN	3190	13	3044	39	94	
3172031002	DKI JAKARTA	JAKARTA UTARA	KOJA	TUGU UTARA	5848	16	5547	97	188	
3175061006	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	UJUNG MENTENG	2536	14	2361	29	132	
3174101005	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	ULUJAMI	4197	14	3992	57	134	
3175011006	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	UTAN KAYU SELATAN	4901	20	4642	78	161	
3175011002	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	UTAN KAYU UTARA	3313	15	3081	65	152	
3171031008	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	UTAN PANJANG	2552	10	2429	40	73	
3172021007	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	WARAKAS	3753	16	3584	52	101	
3173021007	DKI JAKARTA	JAKARTA BARAT	GROGOL PETAMBURAN	WIJAYA KUSUMA	4110	36	3882	53	139	
